timestamp,batch_name,gateway,model,api,provider,scenario_name,continent,country_code,city,region,as_name,conn_type,ttft,ttfb,total_time,success,error,finish_reason,model_used,flow_host,flow_remote_ip,flow_alpn,flow_http_status,flow_server,flow_conn_fresh
2026-08-05 01:29:23.158+00,batch-1785893358108,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,ID,jakarta,JK,google llc,Wired,603,602,1992,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:29:23.837+00,batch-1785893327286,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,tokyo,13,google llc,Wired,1129,1127,5097,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.2.115,http/1.1,200,cloudflare,true
2026-08-05 01:29:25.413+00,batch-1785893351729,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,new delhi,DL,google llc,Wired,997,997,4379,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:27.235+00,batch-1785893361913,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,IN,mumbai,MH,google llc,Wired,742,711,2135,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:29:27.985+00,batch-1785893362648,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,SG,singapore,01,google llc,Wired,767,762,2156,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:29:30.528+00,batch-1785893351729,Edgee,gpt-5.4,openai,openai,simple,AS,IN,new delhi,DL,google llc,Wired,957,38,2508,true,,stop,gpt-5.4-2026-03-05,edgee.io,15.252.55.232,http/1.1,200,,false
2026-08-05 01:29:30.841+00,batch-1785893358108,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,ID,jakarta,JK,google llc,Wired,1071,1070,4749,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:30.936+00,batch-1785893357878,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,KR,seoul,11,google llc,Wired,1011,1009,4949,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:34.957+00,batch-1785893361913,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,mumbai,MH,google llc,Wired,1048,1046,4741,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:35.028+00,batch-1785893357878,Edgee,gpt-5.4,openai,openai,simple,AS,KR,seoul,11,google llc,Wired,699,12,2067,true,,stop,gpt-5.4-2026-03-05,edgee.io,3.34.100.50,http/1.1,200,,false
2026-08-05 01:29:35.304+00,batch-1785893358108,Edgee,gpt-5.4,openai,openai,simple,AS,ID,jakarta,JK,google llc,Wired,654,32,2079,true,,stop,gpt-5.4-2026-03-05,edgee.io,15.232.126.98,http/1.1,200,,false
2026-08-05 01:29:36.079+00,batch-1785893293732,Vercel,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,919,910,2416,true,,stop,openai/gpt-5.4,ai-gateway.vercel.sh,,,200,Vercel,
2026-08-05 01:29:38.902+00,batch-1785893293612,TrueFoundry,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,1294,1269,2903,true,,stop,gpt-5.4-2026-03-05,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:39.168+00,batch-1785893361913,Edgee,gpt-5.4,openai,openai,simple,AS,IN,mumbai,MH,google llc,Wired,736,12,2115,true,,stop,gpt-5.4-2026-03-05,edgee.io,13.234.198.3,http/1.1,200,,false
2026-08-05 01:29:41.424+00,batch-1785893292986,TrueFoundry,gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,983,958,2506,true,,stop,gpt-5.4-2026-03-05,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:41.747+00,batch-1785893297662,TrueFoundry,gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,813,790,2241,true,,stop,gpt-5.4-2026-03-05,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:42.043+00,batch-1785893362648,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,SG,singapore,01,google llc,Wired,7483,7454,10973,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:42.374+00,batch-1785893351729,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,new delhi,DL,google llc,Wired,5193,85,8901,true,,end_turn,claude-sonnet-4-6,edgee.io,15.252.55.232,http/1.1,200,,true
2026-08-05 01:29:42.649+00,batch-1785893357878,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,KR,seoul,11,google llc,Wired,1481,22,5036,true,,end_turn,claude-sonnet-4-6,edgee.io,3.35.253.69,http/1.1,200,,true
2026-08-05 01:29:43.422+00,batch-1785893358108,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,ID,jakarta,JK,google llc,Wired,1629,65,5372,true,,end_turn,claude-sonnet-4-6,edgee.io,15.232.126.98,http/1.1,200,,true
2026-08-05 01:29:44.441+00,batch-1785893293732,Vercel,claude-sonnet-4-6,anthropic,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,1722,1713,5298,true,,end_turn,anthropic/claude-sonnet-4.6,ai-gateway.vercel.sh,64.239.123.1,http/1.1,200,Vercel,true
2026-08-05 01:29:46.539+00,batch-1785893362648,Edgee,gpt-5.4,openai,openai,simple,AS,SG,singapore,01,google llc,Wired,877,17,2274,true,,stop,gpt-5.4-2026-03-05,edgee.io,54.179.106.46,http/1.1,200,,false
2026-08-05 01:29:46.739+00,batch-1785893293612,TrueFoundry,claude-sonnet-4-6,openai,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,1131,1130,5005,true,,stop,claude-sonnet-4-6,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:46.834+00,batch-1785893361913,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,mumbai,MH,google llc,Wired,1337,28,4824,true,,end_turn,claude-sonnet-4-6,edgee.io,13.234.198.3,http/1.1,200,,true
2026-08-05 01:29:47.035+00,batch-1785893293732,Cloudflare,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,0,,0,false,"403 Country, region, or territory not supported",,,,,,,,
2026-08-05 01:29:47.765+00,batch-1785893357878,OpenRouter,gpt-5.4,openai,openai,simple,AS,KR,seoul,11,google llc,Wired,878,583,2257,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:29:47.883+00,batch-1785893351729,OpenRouter,gpt-5.4,openai,openai,simple,AS,IN,new delhi,DL,google llc,Wired,882,636,2777,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:29:48.720+00,batch-1785893358108,OpenRouter,gpt-5.4,openai,openai,simple,AS,ID,jakarta,JK,google llc,Wired,991,770,2568,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:29:49.288+00,batch-1785893292986,TrueFoundry,claude-sonnet-4-6,openai,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,1384,1383,4992,true,,stop,claude-sonnet-4-6,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:50.253+00,batch-1785893297662,TrueFoundry,claude-sonnet-4-6,openai,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,1252,1251,5208,true,,stop,claude-sonnet-4-6,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:51.992+00,batch-1785893361913,OpenRouter,gpt-5.4,openai,openai,simple,AS,IN,mumbai,MH,google llc,Wired,1006,641,2312,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:29:54.402+00,batch-1785893362648,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,SG,singapore,01,google llc,Wired,1430,20,5004,true,,end_turn,claude-sonnet-4-6,edgee.io,54.179.106.46,http/1.1,200,,true
2026-08-05 01:29:55.490+00,batch-1785893357878,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,KR,seoul,11,google llc,Wired,1295,1293,4946,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.3.115,http/1.1,200,cloudflare,true
2026-08-05 01:29:55.658+00,batch-1785893293732,Cloudflare,claude-sonnet-4-6,anthropic,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,1213,1213,4744,true,,end_turn,claude-sonnet-4-6,gateway.ai.cloudflare.com,172.65.90.66,http/1.1,200,cloudflare,false
2026-08-05 01:29:55.819+00,batch-1785893351729,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,new delhi,DL,google llc,Wired,1464,1463,5065,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.3.115,http/1.1,200,cloudflare,true
2026-08-05 01:29:57.265+00,batch-1785893358108,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,ID,jakarta,JK,google llc,Wired,1453,1449,5146,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.3.115,http/1.1,200,cloudflare,true
2026-08-05 01:29:59.934+00,batch-1785893362648,OpenRouter,gpt-5.4,openai,openai,simple,AS,SG,singapore,01,google llc,Wired,1225,848,2492,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:30:01.025+00,batch-1785893361913,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,IN,mumbai,MH,google llc,Wired,1998,1995,5724,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.2.115,http/1.1,200,cloudflare,true
2026-08-05 01:30:01.886+00,batch-1785893293732,Kong,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,1828,1826,2366,true,,stop,gpt-5.4-2026-03-05,44e4ea92a8.eu.serverless.gateways.konggateway.com,,,200,cloudflare,
2026-08-05 01:30:06.190+00,batch-1785893293612,Vercel,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,1108,1102,2692,true,,stop,openai/gpt-5.4,ai-gateway.vercel.sh,,,200,Vercel,
2026-08-05 01:30:07.406+00,batch-1785893327286,TrueFoundry,gpt-5.4,openai,openai,simple,AS,JP,tokyo,13,google llc,Wired,952,920,2074,true,,stop,gpt-5.4-2026-03-05,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:30:08.684+00,batch-1785893362648,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,SG,singapore,01,google llc,Wired,1234,1221,5138,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.3.115,http/1.1,200,cloudflare,true
2026-08-05 01:30:09.792+00,batch-1785893292986,Vercel,gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,759,751,2339,true,,stop,openai/gpt-5.4,ai-gateway.vercel.sh,,,200,Vercel,
2026-08-05 01:30:09.996+00,batch-1785893293732,Kong,claude-sonnet-4-6,openai,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,4813,4812,4813,true,,,claude-sonnet-4-6,44e4ea92a8.eu.serverless.gateways.konggateway.com,,,200,cloudflare,
2026-08-05 01:30:11.046+00,batch-1785893297662,Vercel,gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,2773,2752,4265,true,,stop,openai/gpt-5.4,ai-gateway.vercel.sh,,,200,Vercel,
2026-08-05 01:30:13.325+00,batch-1785893408910,OpenAI (Direct),gpt-5.4,openai,openai,simple,EU,FI,lappeenranta,02,google llc,Wired,535,528,2230,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:30:15.363+00,batch-1785893327286,TrueFoundry,claude-sonnet-4-6,openai,anthropic,simple,AS,JP,tokyo,13,google llc,Wired,1287,1286,5177,true,,stop,claude-sonnet-4-6,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:30:15.977+00,batch-1785893409678,OpenAI (Direct),gpt-5.4,openai,openai,simple,EU,PL,warsaw,14,google llc,Wired,547,546,2231,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:30:17.126+00,batch-1785893293612,Vercel,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,4513,4446,8343,true,,end_turn,anthropic/claude-sonnet-4.6,ai-gateway.vercel.sh,64.239.123.193,http/1.1,200,Vercel,true
2026-08-05 01:30:17.591+00,batch-1785893292986,Vercel,claude-sonnet-4-6,anthropic,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,1231,1223,4993,true,,end_turn,anthropic/claude-sonnet-4.6,ai-gateway.vercel.sh,64.239.109.129,http/1.1,200,Vercel,true
2026-08-05 01:30:19.640+00,batch-1785893297662,Vercel,claude-sonnet-4-6,anthropic,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,1241,1233,5464,true,,end_turn,anthropic/claude-sonnet-4.6,ai-gateway.vercel.sh,64.239.109.65,http/1.1,200,Vercel,true
2026-08-05 01:30:20.913+00,batch-1785893408910,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,EU,FI,lappeenranta,02,google llc,Wired,839,834,4777,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:30:21.425+00,batch-1785893293612,Cloudflare,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,724,715,2048,true,,stop,gpt-5.4-2026-03-05,gateway.ai.cloudflare.com,,,200,cloudflare,
2026-08-05 01:30:22.652+00,batch-1785893292986,Cloudflare,gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,839,836,2426,true,,stop,gpt-5.4-2026-03-05,gateway.ai.cloudflare.com,,,200,cloudflare,
2026-08-05 01:30:22.804+00,batch-1785893416994,OpenAI (Direct),gpt-5.4,openai,openai,simple,OC,AU,sydney,NSW,google llc,Wired,904,900,2376,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:30:22.897+00,batch-1785893417439,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,TH,bangkok,10,google llc,Wired,719,715,2018,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:30:22.932+00,batch-1785893417090,OpenAI (Direct),gpt-5.4,openai,openai,simple,OC,AU,melbourne,VIC,google llc,Wired,958,957,2401,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:30:23.111+00,batch-1785893409678,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,EU,PL,warsaw,14,google llc,Wired,1002,1000,4856,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:30:23.958+00,batch-1785893297662,Cloudflare,gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,838,838,2176,true,,stop,gpt-5.4-2026-03-05,gateway.ai.cloudflare.com,,,200,cloudflare,
2026-08-05 01:30:24.854+00,batch-1785893408910,Edgee,gpt-5.4,openai,openai,simple,EU,FI,lappeenranta,02,google llc,Wired,700,19,2105,true,,stop,gpt-5.4-2026-03-05,edgee.io,16.192.107.216,http/1.1,200,,false
2026-08-05 01:30:26.870+00,batch-1785893409678,Edgee,gpt-5.4,openai,openai,simple,EU,PL,warsaw,14,google llc,Wired,634,71,1943,true,,stop,gpt-5.4-2026-03-05,edgee.io,3.123.209.124,http/1.1,200,,false
2026-08-05 01:30:28.576+00,batch-1785893293612,Cloudflare,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,1081,1081,4554,true,,end_turn,claude-sonnet-4-6,gateway.ai.cloudflare.com,172.65.90.66,http/1.1,200,cloudflare,false
2026-08-05 01:30:30.821+00,batch-1785893417439,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,TH,bangkok,10,google llc,Wired,1392,1382,5074,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:30:31.004+00,batch-1785893416994,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,OC,AU,sydney,NSW,google llc,Wired,1099,1099,4735,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:30:31.452+00,batch-1785893417090,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,OC,AU,melbourne,VIC,google llc,Wired,1845,1802,5603,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:30:32.306+00,batch-1785893327286,Vercel,gpt-5.4,openai,openai,simple,AS,JP,tokyo,13,google llc,Wired,826,818,2395,true,,stop,openai/gpt-5.4,ai-gateway.vercel.sh,,,200,Vercel,
2026-08-05 01:30:32.463+00,batch-1785893292986,Cloudflare,claude-sonnet-4-6,anthropic,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,2933,2922,6522,true,,end_turn,claude-sonnet-4-6,gateway.ai.cloudflare.com,172.65.90.67,http/1.1,200,cloudflare,false
2026-08-05 01:30:32.655+00,batch-1785893297662,Cloudflare,claude-sonnet-4-6,anthropic,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,1024,1023,4741,true,,end_turn,claude-sonnet-4-6,gateway.ai.cloudflare.com,172.65.90.66,http/1.1,200,cloudflare,false
2026-08-05 01:30:33.594+00,batch-1785893408910,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,EU,FI,lappeenranta,02,google llc,Wired,1455,54,5305,true,,end_turn,claude-sonnet-4-6,edgee.io,16.192.107.216,http/1.1,200,,true
2026-08-05 01:30:33.742+00,batch-1785893293612,Kong,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,1760,1759,2253,true,,stop,gpt-5.4-2026-03-05,44e4ea92a8.eu.serverless.gateways.konggateway.com,,,200,cloudflare,
2026-08-05 01:30:34.217+00,batch-1785893409678,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,EU,PL,warsaw,14,google llc,Wired,1188,75,5012,true,,end_turn,claude-sonnet-4-6,edgee.io,3.123.209.124,http/1.1,200,,true
2026-08-05 01:30:35.595+00,batch-1785893417439,Edgee,gpt-5.4,openai,openai,simple,AS,TH,bangkok,10,google llc,Wired,796,51,2433,true,,stop,gpt-5.4-2026-03-05,edgee.io,43.208.127.188,http/1.1,200,,false
